Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains
05-14-26,Bagmane Prime Offi...,3405,17.09,15.79,0.00 ,16.5,100,103.4,3.4,103.92,103.97,3.92
05-08-26,Onemi Technology S...,925.92,24.87,6.57,2.03 ,9.5,171,191,11.7,231.7,231.74,35.5
04-29-26,Citius Transnet In...,1105,8.54,11.77,0.00 ,10.01,100,104.5,4.5,105.87,106.04,5.87
04-17-26,Om Power Transmiss...,150.06,3.65,7.06,1.54 ,3.33,175,181.1,3.49,190.8,190.74,9.03
04-02-26,Sai Parenteral's L...,408.79,1.71,2.36,0.12 ,1.05,392,405,3.32,487.1,486.7,24.26
04-02-26,Powerica Ltd,1100,4.5,0.44,0.15 ,1.45,395,375,-5.06,552.75,551.7,39.94
04-02-26,Amir Chand Jagdish...,440,1.11,12.71,1.36 ,3.23,212,195,-8.02,127.15,127.14,-40.02
03-30-26,Central Mine Plann...,1841.45,3.48,0.35,0.33 ,1.05,172,162.8,-5.35,234.15,234.17,36.13
03-24-26,GSP Crop Science L...,400,2.66,3.05,0.40 ,1.61,320,332.3,3.84,444.4,445.4,38.88
03-24-26,RaajMarg Infra Inv...,6000,11.61,2.55,0.00 ,7.49,100,108,8,111,110.99,11
03-23-26,Innovision Ltd,319.25,13.75,8.26,0.58 ,3.32,519,466,-10.21,306.15,306.35,-41.01
03-19-26,Rajputana Stainles...,254.98,2.51,2.59,0.27 ,1.12,122,123.95,1.6,130.7,130.97,7.13
03-11-26,Sedemac Mechatroni...,1087.35,8.46,0.77,0.20 ,2.68,1352,1510,11.69,1983.2,1983.3,46.69
03-05-26,Omnitech Engineeri...,583,2.86,0.73,0.33 ,1.14,227,205,-9.69,447.7,448.6,97.22
03-04-26,PNGS Reva Diamond ...,379.52,1.04,1.54,1.29 ,1.23,386,372,-3.63,407.15,407.65,5.48
03-02-26,Clean Max Enviro E...,3083.83,2.83,0.54,0.06 ,0.94,1053,952.2,-9.57,1120.6,1120,6.42
03-02-26,Shree Ram Twistex ...,110.24,3.94,220.3,76.63 ,43.66,104,70,-32.69,43.79,43.86,-57.89
02-27-26,Gaudium IVF and Wo...,165,1.62,14.03,7.55 ,7.25,79,83,5.06,115.05,115.07,45.63
02-16-26,Aye Finance Ltd,1010,1.5,0.05,0.77 ,0.97,129,129,0,140.1,140.43,8.6
02-16-26,Fractal Analytics ...,2833.9,4.18,1.06,1.03 ,2.66,900,900,0,916.95,917.5,1.88
01-28-26,Shadowfax Technolo...,1907.27,3.81,0.84,2.31 ,2.72,124,113,-8.87,201.45,201.28,62.46
01-21-26,Amagi Media Labs L...,1788.62,33.77,37.36,9.31 ,30.22,361,317,-12.19,394,393.45,9.14
01-19-26,Bharat Coking Coal...,1071.11,310.81,258.02,49.25 ,146.8,23,45.21,96.57,36.23,36.15,57.52
12-30-25,Gujarat Kidney & S...,250.8,1.06,5.73,19.04 ,5.21,114,120.75,5.92,142.95,143.27,25.39
12-23-25,KSH International ...,644.45,1.06,0.42,0.86 ,0.83,384,370,-3.65,711.65,712.45,85.33
12-19-25,ICICI Prudential A...,10602.7,123.87,22.04,2.53 ,39.17,2165,2606.2,20.38,3230.95,3229.8,49.24
12-17-25,Nephrocare Health ...,871.05,27.47,24.27,2.31 ,13.96,460,491.7,6.89,607.5,607.5,32.07
12-17-25,Park Medi World Lt...,920,11.48,15.15,3.16 ,8.1,162,155.6,-3.95,259.45,259.19,60.15
12-15-25,Wakefit Innovation...,1288.89,3.04,1.05,3.17 ,2.52,195,0,#VALUE!,134.2,134.51,-31.18
